Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
193,Sherlock Jr.,1924,8.1,Buster Keaton,"Buster Keaton, Kathryn McGuire",48702
194,Barry Lyndon,1975,8.1,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson",164329
195,Memories of Murder,2003,8.1,Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung",174072
196,Room,2015,8.1,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",410241
197,Hacksaw Ridge,2016,8.1,Mel Gibson,"Andrew Garfield, Sam Worthington",503586
198,The Seventh Seal,1957,8.1,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",182135
199,Klaus,2019,8.1,Sergio Pablos,"Jason Schwartzman, J.K. Simmons",142449
200,Wild Tales,2014,8.1,Damián Szifron,"Darío Grandinetti, María Marull",194129
201,The Big Lebowski,1998,8.1,Joel Coen,"Jeff Bridges, John Goodman",791877
202,How to Train Your Dragon,2010,8.1,Dean DeBlois,"Jay Baruchel, Gerard Butler",721393
203,Mad Max: Fury Road,2015,8.1,George Miller,"Tom Hardy, Charlize Theron",971333
204,Mary and Max,2009,8.1,Adam Elliot,"Toni Collette, Philip Seymour Hoffman",175223
205,"Monsters, Inc.",2001,8.1,Pete Docter,"Billy Crystal, John Goodman",884974
206,Jaws,1975,8.1,Steven Spielberg,"Roy Scheider, Robert Shaw",584337
207,The Passion of Joan of Arc,1928,8.1,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",53702
208,Pather Panchali,1955,8.1,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee",31703
209,Hotel Rwanda,2004,8.1,Terry George,"Don Cheadle, Sophie Okonedo",351463
210,Tokyo Story,1953,8.1,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama",60495
211,Dead Poets Society,1989,8.1,Peter Weir,"Robin Williams, Robert Sean Leonard",473295
212,Platoon,1986,8.0,Oliver Stone,"Charlie Sheen, Tom Berenger",407381
213,Rocky,1976,8.0,John G. Avildsen,"Sylvester Stallone, Talia Shire",561022
214,Le Mans '66,2019,8.0,James Mangold,"Matt Damon, Christian Bale",368646
215,Stand by Me,1986,8.0,Rob Reiner,"Wil Wheaton, River Phoenix",394082
216,The Terminator,1984,8.0,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",843591
217,Rush,2013,8.0,Ron Howard,"Daniel Brühl, Chris Hemsworth",469438
218,Spotlight,2015,8.0,Tom McCarthy,"Mark Ruffalo, Michael Keaton",460125
219,Into the Wild,2007,8.0,Sean Penn,"Emile Hirsch, Vince Vaughn",612939
220,Network,1976,8.0,Sidney Lumet,"Faye Dunaway, William Holden",157349
221,The Wizard of Oz,1939,8.0,Victor Fleming,"Judy Garland, Frank Morgan",390777
222,Logan,2017,8.0,James Mangold,"Hugh Jackman, Patrick Stewart",731774
223,Groundhog Day,1993,8.0,Harold Ramis,"Bill Murray, Andie MacDowell",615854
224,Ratatouille,2007,8.0,Brad Bird,"Brad Garrett, Lou Romano",705648
225,The Exorcist,1973,8.0,William Friedkin,"Ellen Burstyn, Max von Sydow",393140
226,Before Sunset,2004,8.0,Richard Linklater,"Ethan Hawke, Julie Delpy",257710
227,The Best Years of Our Lives,1946,8.0,William Wyler,"Myrna Loy, Dana Andrews",63264
228,The Incredibles,2004,8.0,Brad Bird,"Craig T. Nelson, Samuel L. Jackson",712115
229,To Be or Not to Be,1942,8.0,Ernst Lubitsch,"Carole Lombard, Jack Benny",36144
230,The Battle of Algiers,1966,8.0,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin",59220
231,Rebecca,1940,8.0,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",135304
232,The Grapes of Wrath,1940,8.0,John Ford,"Henry Fonda, Jane Darwell",91816
233,Hachi: A Dog's Tale,2009,8.0,Lasse Hallström,"Richard Gere, Joan Allen",278307
234,Cool Hand Luke,1967,8.0,Stuart Rosenberg,"Paul Newman, George Kennedy",174761
235,Amores perros,2000,8.0,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",237497
236,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,Gore Verbinski,"Johnny Depp, Geoffrey Rush",1090187
237,Dersu Uzala,1975,8.0,Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin",28431
