Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
134,Mr. Smith Goes to Washington,1939,8.1,Frank Capra,"James Stewart, Jean Arthur",114510
135,On the Waterfront,1954,8.1,Elia Kazan,"Marlon Brando, Karl Malden",152995
136,Gran Torino,2008,8.1,Clint Eastwood,"Clint Eastwood, Bee Vang",762729
137,Fargo,1996,8.1,Joel Coen,"William H. Macy, Frances McDormand",664910
138,Klaus,2019,8.1,Sergio Pablos,"Jason Schwartzman, J.K. Simmons",142449
139,The Third Man,1949,8.1,Carol Reed,"Orson Welles, Joseph Cotten",169674
140,Prisoners,2013,8.1,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",681982
141,In the Name of the Father,1993,8.1,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite",171934
142,Ben-Hur,1959,8.1,William Wyler,"Charlton Heston, Jack Hawkins",236020
143,The Best Years of Our Lives,1946,8.1,William Wyler,"Myrna Loy, Dana Andrews",63264
144,Barry Lyndon,1975,8.1,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson",164329
145,Million Dollar Baby,2004,8.1,Clint Eastwood,"Hilary Swank, Clint Eastwood",676275
146,Before Sunrise,1995,8.1,Richard Linklater,"Ethan Hawke, Julie Delpy",299254
147,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates,"Daniel Radcliffe, Emma Watson",847950
148,Catch Me If You Can,2002,8.1,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",941360
149,Mary and Max,2009,8.1,Adam Elliot,"Toni Collette, Philip Seymour Hoffman",175223
150,The Deer Hunter,1978,8.1,Michael Cimino,"Robert De Niro, Christopher Walken",334090
151,12 Years a Slave,2013,8.1,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",687006
152,Hacksaw Ridge,2016,8.1,Mel Gibson,"Andrew Garfield, Sam Worthington",503586
153,Gone Girl,2014,8.1,David Fincher,"Ben Affleck, Rosamund Pike",953482
154,The Grand Budapest Hotel,2014,8.1,Wes Anderson,"Ralph Fiennes, F. Murray Abraham",782526
155,Room,2015,8.1,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",410241
156,How to Train Your Dragon,2010,8.1,Dean DeBlois,"Jay Baruchel, Gerard Butler",721393
157,The Big Lebowski,1998,8.1,Joel Coen,"Jeff Bridges, John Goodman",791877
158,The Grapes of Wrath,1940,8.1,John Ford,"Henry Fonda, Jane Darwell",91816
159,Hotel Rwanda,2004,8.1,Terry George,"Don Cheadle, Sophie Okonedo",351463
160,Mad Max: Fury Road,2015,8.1,George Miller,"Tom Hardy, Charlize Theron",971333
161,Dead Poets Society,1989,8.1,Peter Weir,"Robin Williams, Robert Sean Leonard",473295
162,"Monsters, Inc.",2001,8.1,Pete Docter,"Billy Crystal, John Goodman",884974
163,Jaws,1975,8.1,Steven Spielberg,"Roy Scheider, Robert Shaw",584337
164,Network,1976,8.1,Sidney Lumet,"Faye Dunaway, William Holden",157349
165,Le Mans '66,2019,8.1,James Mangold,"Matt Damon, Christian Bale",368646
166,Rocky,1976,8.1,John G. Avildsen,"Sylvester Stallone, Talia Shire",561022
167,Platoon,1986,8.1,Oliver Stone,"Charlie Sheen, Tom Berenger",407381
168,The Red Shoes,1948,8.1,Michael Powell,"Anton Walbrook, Marius Goring",34537
169,Stand by Me,1986,8.1,Rob Reiner,"Wil Wheaton, River Phoenix",394082
170,It Happened One Night,1934,8.1,Frank Capra,"Clark Gable, Claudette Colbert",102452
171,Rebecca,1940,8.1,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",135304
